
"WU03EW - Location of usual residence and place of work by method of travel to work (MSOA level)"
"ONS Crown Copyright Reserved [from Nomis on 28 February 2025]"
"Population :","All usual residents aged 16 and over in employment the week before the census"
"Units      :","Persons"
"Date       :","2011"
"Method of travel to work:","All categories: Method of travel to work (2001 specification)"

 ,"place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work"
"E02003005 : Bath and North East Somerset 021",0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,1,1,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02003006 : Bath and North East Somerset 022",0,0,0,0,0,0,10,2,1,0,2,6,0,0,0,3,7,0,1,0,0,4,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02003007 : Bath and North East Somerset 023",0,0,1,0,0,0,5,0,0,1,0,4,0,0,0,2,0,0,0,2,0,0,5,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02003008 : Bath and North East Somerset 024",0,0,0,0,1,0,2,0,1,0,0,2,0,0,0,0,1,1,0,0,0,1,0,3,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02003009 : Bath and North East Somerset 025",0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,5,7,10,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02003010 : Bath and North East Somerset 026",0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,8,46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02003011 : Bath and North East Somerset 027",0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,11,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02003012 : Bristol 001",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,11,7,0,7,0,10,1,0,1,0,1,3,3,1,1,0,0,1,1,4,0,1,6,0,0,0,2,21,0,0,1,0,0,0,0,0,2,1,1,0,3,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,23,0,0,0,4,0,7,0,0,0,0,0,14,9,1,0,0,0,0,0,2,0,0,0,0,0,0,1
"E02003013 : Bristol 002",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,9,17,1,4,0,10,1,2,2,0,1,2,3,5,3,0,2,0,1,2,3,7,3,0,1,0,3,22,0,1,0,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,8,2,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,16,0,0,2,3,0,5,2,0,0,0,0,15,17,0,0,1,2,0,0,0,0,0,0,0,0,0,1
"E02003014 : Bristol 003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,0,0,2,0,41,1,3,0,0,0,1,1,0,0,0,0,0,0,3,0,0,2,0,1,0,0,7,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,0,0,0,1,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"E02003015 : Bristol 004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,18,2,6,0,1,2,0,2,0,0,2,1,3,2,1,1,6,0,5,6,2,1,0,0,2,4,40,0,0,0,2,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,0,0,0,0,0,10,0,0,0,0,0,19,13,0,0,1,0,0,0,1,1,1,0,0,1,0,0
"E02003016 : Bristol 005",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,14,7,1,0,0,0,0,5,0,2,3,1,3,2,1,1,2,1,0,9,5,5,0,1,1,4,51,0,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,8,3,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,1,0,6,0,12,0,0,0,0,1,44,17,2,0,1,2,0,1,0,0,0,1,0,0,0,1
"E02003017 : Bristol 006",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,8,1,8,0,3,2,1,0,1,0,1,3,0,6,0,0,1,0,2,2,12,4,0,0,0,2,61,0,3,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,20,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,10,1,0,0,0,1,36,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"E02003018 : Bristol 007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,5,5,0,3,0,17,1,1,0,0,0,0,1,1,3,0,0,1,0,3,2,1,2,0,0,0,2,25,0,1,0,1,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,0,0,0,0,0,2,0,0,0,0,1,6,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
"E02003019 : Bristol 008",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,30,4,0,1,0,72,2,3,0,1,0,1,2,0,3,0,0,1,0,1,1,6,4,0,0,1,2,21,0,0,0,2,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,12,1,3,0,3,0,0,14,0,11,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,4,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"E02003020 : Bristol 009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,1,0,1,2,0,0,0,0,1,2,0,0,0,0,0,0,1,1,3,3,0,0,0,5,52,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,17,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02003021 : Bristol 010",0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,18,3,2,0,3,0,5,2,2,4,5,1,7,4,0,0,9,3,10,11,10,13,0,2,0,5,109,0,0,2,6,0,0,10,0,4,0,0,0,2,1,0,0,0,0,0,0,1,44,4,4,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5,0,9,1,0,0,0,0,48,15,0,0,0,1,0,0,1,0,0,0,1,1,0,0
"E02003022 : Bristol 011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,19,0,4,0,0,1,1,4,0,1,2,3,2,2,0,1,2,0,2,8,4,10,0,0,0,6,61,0,3,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,38,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,10,0,0,0,0,0,31,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0
"E02003023 : Bristol 012",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,1,0,0,0,0,0,2,7,4,1,0,0,0,4,0,1,1,7,5,1,0,0,1,0,36,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,3,1,0,0,0,0,32,3,1,0,0,2,0,0,1,2,1,2,0,0,0,0
"E02003024 : Bristol 013",1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,1,0,1,0,0,3,2,18,5,1,4,0,1,0,0,4,1,8,8,1,0,0,0,0,49,0,0,3,2,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,4,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,5,0,0,0,0,0,33,3,2,2,2,1,2,0,4,3,0,4,0,1,1,1
"E02003025 : Bristol 014",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,1,0,2,1,1,1,1,4,9,1,6,1,0,0,2,0,2,22,8,1,0,1,1,0,43,0,0,3,0,0,2,6,0,0,0,0,0,1,1,0,1,0,0,0,0,1,8,1,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,28,3,1,0,4,0,0,0,0,1,0,1,0,0,1,0
"E02003026 : Bristol 015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,15,0,0,0,1,3,0,0,1,1,0,4,1,5,0,0,4,0,4,5,8,8,0,0,0,7,56,0,2,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,15,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,4,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"E02003027 : Bristol 016",0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,3,0,24,4,11,0,3,4,0,1,0,12,10,5,26,13,2,0,16,3,19,48,27,25,0,0,1,12,311,0,2,10,12,0,1,11,2,3,0,2,1,1,5,1,0,0,0,0,0,0,100,9,3,4,0,0,0,4,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,1,0,7,0,26,0,0,0,0,2,99,24,1,0,0,1,0,1,1,3,1,1,0,2,0,0
"E02003028 : Bristol 017",0,0,0,0,0,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,1,19,1,2,0,1,1,0,3,1,1,6,4,3,8,0,2,15,1,7,19,23,21,0,0,0,16,150,0,3,1,5,0,1,4,0,4,0,0,0,1,0,2,0,0,0,0,1,1,54,0,2,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,1,0,0,4,0,15,1,0,0,1,2,58,9,1,0,1,0,0,1,1,0,0,1,1,0,1,0
"E02003029 : Bristol 018",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,7,4,1,0,0,4,1,2,5,0,5,2,3,2,0,1,1,26,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,1,0,10,2,4,0,1,1,0,0,1,3,0,0,1,0,0,2
"E02003030 : Bristol 019",0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,2,0,0,0,11,4,0,1,1,1,5,3,14,0,14,20,3,0,1,2,1,70,1,2,1,1,0,3,2,0,1,1,2,0,2,0,2,2,0,0,0,1,1,41,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,13,1,4,0,3,2,0,0,3,2,0,0,3,0,1,0
"E02003031 : Bristol 020",0,0,0,0,0,0,2,1,2,1,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,2,3,18,3,3,1,2,2,2,2,3,7,11,4,14,9,2,2,18,9,16,39,20,26,0,1,2,20,305,0,1,1,13,0,2,10,0,3,0,1,0,0,3,0,1,0,0,0,1,3,70,7,14,2,0,0,1,1,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,1,0,0,4,0,23,0,0,1,0,2,62,17,0,0,6,2,0,1,5,1,0,1,0,0,1,0
"E02003032 : Bristol 021",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,11,2,1,2,1,2,3,2,6,1,8,11,1,0,1,2,0,42,0,1,6,4,0,3,3,0,1,0,2,0,0,0,1,0,0,0,0,0,0,25,5,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,3,0,4,1,0,0,1,0,13,3,5,0,1,4,0,0,3,3,0,4,3,2,0,2
"E02003033 : Bristol 022",0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,13,0,6,1,5,1,1,0,1,1,0,12,1,2,0,3,8,1,13,10,25,19,0,0,2,8,120,0,1,6,4,0,1,8,0,0,0,1,1,1,0,1,1,0,1,0,0,2,37,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,9,0,0,0,0,0,27,8,0,0,2,0,0,0,0,0,1,2,0,0,0,0
"E02003034 : Bristol 023",1,2,0,0,0,0,3,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,2,11,3,4,0,4,3,1,0,1,16,16,2,9,6,1,1,15,7,21,58,36,24,0,1,4,13,281,0,4,13,14,0,4,16,3,2,0,4,0,3,6,3,2,0,0,0,1,1,65,19,15,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,3,0,17,0,0,0,0,2,45,5,2,0,2,1,0,4,2,1,3,8,0,1,3,0
"E02003036 : Bristol 025",0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,1,4,1,0,3,0,1,0,14,6,4,4,6,2,1,4,3,5,12,6,20,0,0,0,13,115,0,3,4,0,0,0,11,0,4,0,2,0,0,0,0,1,0,0,0,0,3,49,0,7,0,0,0,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,2,0,0,0,2,0,9,0,0,0,0,0,27,12,0,0,0,0,0,0,1,1,0,1,1,0,0,0
"E02003037 : Bristol 026",0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,5,0,1,0,2,1,0,0,0,2,0,0,4,3,0,0,5,0,7,7,11,13,1,0,2,10,88,0,0,4,2,0,0,3,0,2,1,2,1,0,0,0,1,0,0,0,0,1,49,1,3,0,0,0,1,2,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,13,0,0,0,0,1,31,7,2,0,1,0,0,0,0,2,0,0,0,0,0,0
"E02003038 : Bristol 027",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,4,1,0,2,0,1,2,0,4,0,7,4,3,3,1,1,1,22,1,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,1,1,18,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,4,0,0,0,0,0,7,1,4,0,0,0,0,0,2,0,2,5,1,1,2,3
"E02003039 : Bristol 028",1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0,1,0,0,2,4,0,2,0,3,1,1,7,0,8,13,6,0,3,1,0,46,3,0,2,0,0,1,3,0,1,0,2,0,1,0,0,0,0,1,0,0,1,32,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,1,12,1,2,0,1,0,0,0,1,0,0,3,2,1,1,1
"E02003040 : Bristol 029",1,0,2,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,2,1,3,0,0,3,2,0,0,11,5,0,1,2,1,0,1,11,1,25,13,6,1,3,3,4,133,3,1,7,3,0,2,9,0,2,1,2,0,0,1,0,2,1,0,0,0,2,44,9,10,0,0,0,1,0,0,1,0,1,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,7,0,0,0,0,0,21,5,4,0,0,1,0,2,4,4,0,5,2,1,0,0
"E02003041 : Bristol 030",0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,1,0,0,0,0,0,1,0,2,0,3,0,2,0,1,2,0,9,3,13,11,0,0,0,2,68,0,0,4,3,0,0,2,0,5,0,0,0,0,1,1,0,0,0,0,0,1,44,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,7,0,0,0,0,0,20,2,0,0,0,0,0,0,0,0,1,0,2,0,0,1
"E02003043 : Bristol 032",0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,0,2,0,0,0,0,2,2,5,2,3,2,2,5,1,0,8,4,9,0,1,1,6,66,0,1,2,6,0,2,8,0,4,1,0,0,0,0,1,1,0,0,0,1,0,38,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,1,6,1,0,0,0,0,27,3,1,0,1,0,0,0,1,1,0,0,0,0,0,0
"E02003044 : Bristol 033",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,2,2,0,1,0,0,0,0,8,0,3,6,0,0,1,5,0,29,4,0,4,0,0,2,3,0,0,0,3,0,0,0,0,1,0,0,0,0,1,24,2,9,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,5,1,3,0,1,1,0,1,0,1,1,2,1,0,5,2
"E02003045 : Bristol 034",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,0,1,0,2,0,0,0,0,0,0,1,1,1,1,0,1,1,2,9,11,13,0,0,2,7,98,0,1,5,7,0,0,13,0,3,0,0,0,0,3,1,0,0,1,0,0,1,46,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,16,4,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"E02003046 : Bristol 035",1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,2,0,1,1,0,0,0,0,1,1,0,2,1,0,0,2,1,13,16,3,0,0,4,0,111,0,1,9,4,2,15,5,2,3,1,6,1,2,1,1,2,0,0,0,0,1,75,3,14,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,2,1,0,1,0,0,1,1,1,0,3,0,0,3,0
"E02003047 : Bristol 036",0,1,1,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,9,2,2,0,2,1,0,0,1,5,3,3,5,3,1,2,11,5,10,21,33,9,0,0,4,10,287,0,6,15,18,1,5,15,0,11,1,5,0,4,7,4,5,0,0,0,3,3,99,2,8,1,0,0,0,6,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,8,1,0,0,0,0,17,7,0,0,1,0,0,1,3,2,0,5,1,0,0,0
"E02003048 : Bristol 037",0,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,3,1,0,0,1,1,0,0,0,5,3,1,5,2,1,0,2,3,3,21,13,7,0,1,1,6,136,0,2,5,9,4,5,12,2,5,0,2,1,1,0,1,3,0,1,0,2,3,47,5,9,1,0,0,0,0,0,3,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,5,1,2,0,0,1,0,0,2,0,0,1,0,0,2,0
"E02003049 : Bristol 038",1,0,1,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,1,3,8,7,1,0,1,2,2,36,0,0,4,3,0,11,5,0,3,0,3,0,1,0,1,1,0,0,0,1,2,40,1,5,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,3,0,0,0,1
"E02003050 : Bristol 039",1,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,0,4,0,2,0,0,4,2,0,1,2,0,0,3,5,4,13,12,12,0,0,1,8,126,0,2,7,10,1,1,13,1,13,0,3,3,5,6,2,1,3,0,0,1,1,50,2,3,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,7,3,3,0,0,0,0,2,0,0,1,0,0,0,0,0
"E02003051 : Bristol 040",0,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,1,2,0,0,0,2,0,1,5,1,0,3,2,0,0,4,0,4,19,11,15,0,1,2,6,120,0,4,5,16,0,2,16,1,11,2,0,1,1,0,4,3,0,0,0,1,7,54,7,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0,3,1,0,0,0,0,7,1,0,0,0,0,0,0,2,0,0,1,0,1,0,0
